order_id,scenario_type,expected_exception_type,predicted_exception_type,exception_evaluated,exception_correct,expected_rule_engine_outcome,predicted_rule_engine_outcome,outcome_correct,actual_record_count,actual_exception_types
ORD-2026-000001,CLEAN_MATCH,,,False,,MATCHED,MATCHED,True,1,
ORD-2026-000002,AMOUNT_MISMATCH,AMOUNT_MISMATCH,AMOUNT_MISMATCH,True,True,EXCEPTION,EXCEPTION,True,1,AMOUNT_MISMATCH
ORD-2026-000003,AMOUNT_MISMATCH,AMOUNT_MISMATCH,AMOUNT_MISMATCH,True,True,EXCEPTION,EXCEPTION,True,1,AMOUNT_MISMATCH
ORD-2026-000004,AMOUNT_MISMATCH,AMOUNT_MISMATCH,AMOUNT_MISMATCH,True,True,EXCEPTION,EXCEPTION,True,1,AMOUNT_MISMATCH
ORD-2026-000005,UNRESOLVED,UNKNOWN,MISSING_RECORD,True,False,EXCEPTION,EXCEPTION,True,1,MISSING_RECORD
ORD-2026-000006,AMOUNT_MISMATCH,AMOUNT_MISMATCH,AMOUNT_MISMATCH,True,True,EXCEPTION,EXCEPTION,True,2,"AMOUNT_MISMATCH, DUPLICATE"
ORD-2026-000007,AMOUNT_MISMATCH,AMOUNT_MISMATCH,AMOUNT_MISMATCH,True,True,EXCEPTION,EXCEPTION,True,1,AMOUNT_MISMATCH
ORD-2026-000008,AMOUNT_MISMATCH,AMOUNT_MISMATCH,AMOUNT_MISMATCH,True,True,EXCEPTION,EXCEPTION,True,1,AMOUNT_MISMATCH
ORD-2026-000009,MISSING_RECORD,MISSING_RECORD,MISSING_RECORD,True,True,EXCEPTION,EXCEPTION,True,1,MISSING_RECORD
ORD-2026-000010,CLEAN_MATCH,,,False,,MATCHED,MATCHED,True,1,
ORD-2026-000011,CLEAN_MATCH,,,False,,MATCHED,MATCHED,True,1,
ORD-2026-000012,CLEAN_MATCH,,,False,,MATCHED,MATCHED,True,1,
ORD-2026-000013,CLEAN_MATCH,,,False,,MATCHED,MATCHED,True,1,
ORD-2026-000014,CLEAN_MATCH,,,False,,MATCHED,MATCHED,True,1,
ORD-2026-000015,UNRESOLVED,UNKNOWN,MISSING_RECORD,True,False,EXCEPTION,EXCEPTION,True,1,MISSING_RECORD
ORD-2026-000016,CLEAN_MATCH,,,False,,MATCHED,MATCHED,True,1,
ORD-2026-000017,DUPLICATE,DUPLICATE,DUPLICATE,True,True,EXCEPTION,EXCEPTION,True,2,DUPLICATE
ORD-2026-000018,TIMING_DIFFERENCE,,,False,,MATCHED,MATCHED,True,1,
ORD-2026-000019,CLEAN_MATCH,,,False,,MATCHED,MATCHED,True,1,
ORD-2026-000020,CLEAN_MATCH,,,False,,MATCHED,MATCHED,True,1,
ORD-2026-000021,CLEAN_MATCH,,,False,,MATCHED,MATCHED,True,1,
ORD-2026-000022,DUPLICATE,DUPLICATE,DUPLICATE,True,True,EXCEPTION,EXCEPTION,True,2,DUPLICATE
ORD-2026-000023,CLEAN_MATCH,,,False,,MATCHED,MATCHED,True,1,
ORD-2026-000024,TIMING_DIFFERENCE,TIMING_DIFFERENCE,TIMING_DIFFERENCE,True,True,EXCEPTION,EXCEPTION,True,1,TIMING_DIFFERENCE
ORD-2026-000025,CLEAN_MATCH,,,False,,MATCHED,MATCHED,True,1,
ORD-2026-000026,CLEAN_MATCH,,,False,,MATCHED,MATCHED,True,1,
ORD-2026-000027,FEE_DIFFERENCE,FEE_DIFFERENCE,NONE,True,False,EXCEPTION,MATCHED,False,1,
ORD-2026-000028,CLEAN_MATCH,,,False,,MATCHED,MATCHED,True,1,
ORD-2026-000029,CLEAN_MATCH,,,False,,MATCHED,MATCHED,True,1,
ORD-2026-000030,CLEAN_MATCH,,,False,,MATCHED,MATCHED,True,1,
ORD-2026-000031,CLEAN_MATCH,,,False,,MATCHED,MATCHED,True,1,
ORD-2026-000032,MISSING_RECORD,MISSING_RECORD,MISSING_RECORD,True,True,EXCEPTION,EXCEPTION,True,1,MISSING_RECORD
ORD-2026-000033,CLEAN_MATCH,,,False,,MATCHED,MATCHED,True,1,
ORD-2026-000034,AMOUNT_MISMATCH,AMOUNT_MISMATCH,AMOUNT_MISMATCH,True,True,EXCEPTION,EXCEPTION,True,1,AMOUNT_MISMATCH
ORD-2026-000035,MISSING_RECORD,MISSING_RECORD,MISSING_RECORD,True,True,EXCEPTION,EXCEPTION,True,1,MISSING_RECORD
ORD-2026-000036,TIMING_DIFFERENCE,TIMING_DIFFERENCE,TIMING_DIFFERENCE,True,True,EXCEPTION,EXCEPTION,True,1,TIMING_DIFFERENCE
ORD-2026-000037,MISSING_RECORD,MISSING_RECORD,MISSING_RECORD,True,True,EXCEPTION,EXCEPTION,True,1,MISSING_RECORD
ORD-2026-000038,FEE_DIFFERENCE,FEE_DIFFERENCE,NONE,True,False,EXCEPTION,MATCHED,False,1,
ORD-2026-000039,CLEAN_MATCH,,,False,,MATCHED,MATCHED,True,1,
