bank_reference,gateway_reference,settlement_date,settlement_amount,bank_fee,currency
BNK_UTR_5001,pay_G1001,2026-08-02,890.82,0.00,INR
BNK_UTR_5002,pay_G1002,2026-08-02,4421.76,0.00,INR
BNK_UTR_5003,pay_G1003,2026-08-02,12314.68,0.00,INR
BNK_UTR_5004,pay_G1004,2026-08-02,12382.30,0.00,INR
BNK_UTR_5005,pay_G1005,2026-08-02,9970.52,0.00,INR
BNK_UTR_5006,pay_G1006,2026-08-02,968.24,0.00,INR
BNK_UTR_5007,pay_G1007,2026-08-02,4224.78,0.00,INR
BNK_UTR_5008,pay_G1008,2026-08-03,915.32,0.00,INR
BNK_UTR_5009,pay_G1009,2026-08-03,11986.38,0.00,INR
BNK_UTR_5010,pay_G1010,2026-08-03,9239.44,0.00,INR
BNK_UTR_5011,pay_G1011,2026-08-03,7701.82,0.00,INR
BNK_UTR_5012,pay_G1012,2026-08-03,13485.78,0.00,INR
BNK_UTR_5013,pay_G1013,2026-08-03,12673.36,0.00,INR
BNK_UTR_5014,pay_G1014,2026-08-03,11699.24,0.00,INR
BNK_UTR_5015,pay_G1015,2026-08-03,4950.96,0.00,INR
BNK_UTR_5016,pay_G1016,2026-08-03,12748.82,0.00,INR
BNK_UTR_5017,pay_G1017,2026-08-03,1978.62,0.00,INR
BNK_UTR_5018,pay_G1018,2026-08-03,6253.38,0.00,INR
BNK_UTR_5019,pay_G1019,2026-08-03,10183.18,0.00,INR
BNK_UTR_5020,pay_G1020,2026-08-04,12205.90,0.00,INR
BNK_UTR_5021,pay_G1021,2026-08-04,2494.10,0.00,INR
BNK_UTR_5022,pay_G1022,2026-08-04,9353.12,0.00,INR
BNK_UTR_5023,pay_G1023,2026-08-04,10420.34,0.00,INR
BNK_UTR_5024,pay_G1024,2026-08-04,9759.82,0.00,INR
BNK_UTR_5025,pay_G1025,2026-08-04,1606.22,0.00,INR
BNK_UTR_5026,pay_G1026,2026-08-04,4148.34,0.00,INR
BNK_UTR_5027,pay_G1027,2026-08-04,1770.86,0.00,INR
BNK_UTR_5028,pay_G1028,2026-08-04,14402.08,0.00,INR
BNK_UTR_5029,pay_G1029,2026-08-04,4952.92,0.00,INR
BNK_UTR_5030,pay_G1030,2026-08-04,13882.68,0.00,INR
BNK_UTR_5031,pay_G1031,2026-08-04,6433.70,0.00,INR
BNK_UTR_5032,pay_G1032,2026-08-05,11250.40,0.00,INR
BNK_UTR_5033,pay_G1033,2026-08-05,11465.02,0.00,INR
BNK_UTR_5034,pay_G1034,2026-08-05,10270.40,0.00,INR
BNK_UTR_5035,pay_G1035,2026-08-05,9065.98,0.00,INR
BNK_UTR_5036,pay_G1036,2026-08-05,3113.46,0.00,INR
BNK_UTR_5037,pay_G1037,2026-08-05,4823.56,0.00,INR
BNK_UTR_5038,pay_G1038,2026-08-05,9432.50,0.00,INR
BNK_UTR_5039,pay_G1039,2026-08-05,5696.74,0.00,INR
BNK_UTR_5040,pay_G1040,2026-08-05,12948.74,0.00,INR
BNK_UTR_5041,pay_G1041,2026-08-05,13684.72,0.00,INR
BNK_UTR_5042,pay_G1042,2026-08-05,6930.56,0.00,INR
BNK_UTR_5043,pay_G1043,2026-08-05,3876.88,0.00,INR
BNK_UTR_5044,pay_G1044,2026-08-06,5541.90,0.00,INR
BNK_UTR_5045,pay_G1045,2026-08-06,8505.42,0.00,INR
BNK_UTR_5046,pay_G1046,2026-08-06,7856.66,0.00,INR
BNK_UTR_5047,pay_G1047,2026-08-06,2731.26,0.00,INR
BNK_UTR_5048,pay_G1048,2026-08-06,9503.06,0.00,INR
BNK_UTR_5049,pay_G1049,2026-08-06,12484.22,0.00,INR
BNK_UTR_5050,pay_G1050,2026-08-06,9858.80,0.00,INR
BNK_UTR_5051,pay_G1051,2026-08-06,4031.60,0.00,INR
BNK_UTR_5052,pay_G1052,2026-08-06,8284.52,0.00,INR
BNK_UTR_5053,pay_G1053,2026-08-06,1251.93,0.00,INR
BNK_UTR_5054,pay_G1054,2026-08-06,2898.86,0.00,INR
BNK_UTR_5055,pay_G1055,2026-08-06,13274.84,0.00,INR
BNK_UTR_5056,pay_G1056,2026-08-07,9911.51,0.00,INR
BNK_UTR_5057,pay_G1057,2026-08-07,6650.72,0.00,INR
BNK_UTR_5058,pay_G1058,2026-08-07,8848.08,0.00,INR
BNK_UTR_5059,pay_G1059,2026-08-07,14383.95,0.00,INR
BNK_UTR_5060,pay_G1060,2026-08-07,11877.22,0.00,INR
BNK_UTR_5061,pay_G1061,2026-08-15,14696.08,0.00,INR
BNK_UTR_5062,pay_G1062,2026-08-15,4773.58,0.00,INR
BNK_UTR_5063,pay_G1063,2026-08-15,5951.54,0.00,INR
