transaction_id,order_id,invoice_id,transaction_date,amount,currency,customer_id,reference_id
TXN_1001,ORD_1001,INV_1001,2026-08-01,909.00,INR,CUST_754,pay_G1001
TXN_1002,ORD_1002,INV_1002,2026-08-01,4512.00,INR,CUST_859,pay_G1002
TXN_1003,ORD_1003,INV_1003,2026-08-01,12566.00,INR,CUST_328,pay_G1003
TXN_1004,ORD_1004,INV_1004,2026-08-01,12635.00,INR,CUST_204,pay_G1004
TXN_1005,ORD_1005,INV_1005,2026-08-01,10174.00,INR,CUST_658,pay_G1005
TXN_1006,ORD_1006,INV_1006,2026-08-01,988.00,INR,CUST_532,pay_G1006
TXN_1007,ORD_1007,INV_1007,2026-08-01,4311.00,INR,CUST_195,pay_G1007
TXN_1008,ORD_1008,INV_1008,2026-08-02,934.00,INR,CUST_617,pay_G1008
TXN_1009,ORD_1009,INV_1009,2026-08-02,12231.00,INR,CUST_674,pay_G1009
TXN_1010,ORD_1010,INV_1010,2026-08-02,9428.00,INR,CUST_765,pay_G1010
TXN_1011,ORD_1011,INV_1011,2026-08-02,7859.00,INR,CUST_529,pay_G1011
TXN_1012,ORD_1012,INV_1012,2026-08-02,13761.00,INR,CUST_703,pay_G1012
TXN_1013,ORD_1013,INV_1013,2026-08-02,12932.00,INR,CUST_990,pay_G1013
TXN_1014,ORD_1014,INV_1014,2026-08-02,11938.00,INR,CUST_925,pay_G1014
TXN_1015,ORD_1015,INV_1015,2026-08-02,5052.00,INR,CUST_532,pay_G1015
TXN_1016,ORD_1016,INV_1016,2026-08-02,13009.00,INR,CUST_259,pay_G1016
TXN_1017,ORD_1017,INV_1017,2026-08-02,2019.00,INR,CUST_444,pay_G1017
TXN_1018,ORD_1018,INV_1018,2026-08-02,6381.00,INR,CUST_489,pay_G1018
TXN_1019,ORD_1019,INV_1019,2026-08-02,10391.00,INR,CUST_967,pay_G1019
TXN_1020,ORD_1020,INV_1020,2026-08-03,12455.00,INR,CUST_370,pay_G1020
TXN_1021,ORD_1021,INV_1021,2026-08-03,2545.00,INR,CUST_570,pay_G1021
TXN_1022,ORD_1022,INV_1022,2026-08-03,9544.00,INR,CUST_487,pay_G1022
TXN_1023,ORD_1023,INV_1023,2026-08-03,10633.00,INR,CUST_400,pay_G1023
TXN_1024,ORD_1024,INV_1024,2026-08-03,9959.00,INR,CUST_982,pay_G1024
TXN_1025,ORD_1025,INV_1025,2026-08-03,1639.00,INR,CUST_296,pay_G1025
TXN_1026,ORD_1026,INV_1026,2026-08-03,4233.00,INR,CUST_146,pay_G1026
TXN_1027,ORD_1027,INV_1027,2026-08-03,1807.00,INR,CUST_891,pay_G1027
TXN_1028,ORD_1028,INV_1028,2026-08-03,14696.00,INR,CUST_975,pay_G1028
TXN_1029,ORD_1029,INV_1029,2026-08-03,5054.00,INR,CUST_203,pay_G1029
TXN_1030,ORD_1030,INV_1030,2026-08-03,14166.00,INR,CUST_564,pay_G1030
TXN_1031,ORD_1031,INV_1031,2026-08-03,6565.00,INR,CUST_473,pay_G1031
TXN_1032,ORD_1032,INV_1032,2026-08-04,11480.00,INR,CUST_463,pay_G1032
TXN_1033,ORD_1033,INV_1033,2026-08-04,11699.00,INR,CUST_373,pay_G1033
TXN_1034,ORD_1034,INV_1034,2026-08-04,10480.00,INR,CUST_763,pay_G1034
TXN_1035,ORD_1035,INV_1035,2026-08-04,9251.00,INR,CUST_750,pay_G1035
TXN_1036,ORD_1036,INV_1036,2026-08-04,3177.00,INR,CUST_846,pay_G1036
TXN_1037,ORD_1037,INV_1037,2026-08-04,4922.00,INR,CUST_573,pay_G1037
TXN_1038,ORD_1038,INV_1038,2026-08-04,9625.00,INR,CUST_755,pay_G1038
TXN_1039,ORD_1039,INV_1039,2026-08-04,5813.00,INR,CUST_324,pay_G1039
TXN_1040,ORD_1040,INV_1040,2026-08-04,13213.00,INR,CUST_963,pay_G1040
TXN_1041,ORD_1041,INV_1041,2026-08-04,13964.00,INR,CUST_157,pay_G1041
TXN_1042,ORD_1042,INV_1042,2026-08-04,7072.00,INR,CUST_132,pay_G1042
TXN_1043,ORD_1043,INV_1043,2026-08-04,3956.00,INR,CUST_374,pay_G1043
TXN_1044,ORD_1044,INV_1044,2026-08-05,5655.00,INR,CUST_680,pay_G1044
TXN_1045,ORD_1045,INV_1045,2026-08-05,8679.00,INR,CUST_317,pay_G1045
TXN_1046,ORD_1046,INV_1046,2026-08-05,8017.00,INR,CUST_505,pay_G1046
TXN_1047,ORD_1047,INV_1047,2026-08-05,2787.00,INR,CUST_246,pay_G1047
TXN_1048,ORD_1048,INV_1048,2026-08-05,9697.00,INR,CUST_352,pay_G1048
TXN_1049,ORD_1049,INV_1049,2026-08-05,12739.00,INR,CUST_651,pay_G1049
TXN_1050,ORD_1050,INV_1050,2026-08-05,10060.00,INR,CUST_698,pay_G1050
TXN_1051,ORD_1051,INV_1051,2026-08-05,4093.00,INR,CUST_508,pay_G1051
TXN_1052,ORD_1052,INV_1052,2026-08-05,8585.00,INR,CUST_241,pay_G1052
