gateway_reference,order_id,transaction_date,gross_amount,fee,net_amount,currency,refund_amount,chargeback_amount
pay_G1001,ORD_1001,2026-08-01,909.00,18.18,890.82,INR,0.00,0.00
pay_G1002,ORD_1002,2026-08-01,4512.00,90.24,4421.76,INR,0.00,0.00
pay_G1003,ORD_1003,2026-08-01,12566.00,251.32,12314.68,INR,0.00,0.00
pay_G1004,ORD_1004,2026-08-01,12635.00,252.70,12382.30,INR,0.00,0.00
pay_G1005,ORD_1005,2026-08-01,10174.00,203.48,9970.52,INR,0.00,0.00
pay_G1006,ORD_1006,2026-08-01,988.00,19.76,968.24,INR,0.00,0.00
pay_G1007,ORD_1007,2026-08-01,4311.00,86.22,4224.78,INR,0.00,0.00
pay_G1008,ORD_1008,2026-08-02,934.00,18.68,915.32,INR,0.00,0.00
pay_G1009,ORD_1009,2026-08-02,12231.00,244.62,11986.38,INR,0.00,0.00
pay_G1010,ORD_1010,2026-08-02,9428.00,188.56,9239.44,INR,0.00,0.00
pay_G1011,ORD_1011,2026-08-02,7859.00,157.18,7701.82,INR,0.00,0.00
pay_G1012,ORD_1012,2026-08-02,13761.00,275.22,13485.78,INR,0.00,0.00
pay_G1013,ORD_1013,2026-08-02,12932.00,258.64,12673.36,INR,0.00,0.00
pay_G1014,ORD_1014,2026-08-02,11938.00,238.76,11699.24,INR,0.00,0.00
pay_G1015,ORD_1015,2026-08-02,5052.00,101.04,4950.96,INR,0.00,0.00
pay_G1016,ORD_1016,2026-08-02,13009.00,260.18,12748.82,INR,0.00,0.00
pay_G1017,ORD_1017,2026-08-02,2019.00,40.38,1978.62,INR,0.00,0.00
pay_G1018,ORD_1018,2026-08-02,6381.00,127.62,6253.38,INR,0.00,0.00
pay_G1019,ORD_1019,2026-08-02,10391.00,207.82,10183.18,INR,0.00,0.00
pay_G1020,ORD_1020,2026-08-03,12455.00,249.10,12205.90,INR,0.00,0.00
pay_G1021,ORD_1021,2026-08-03,2545.00,50.90,2494.10,INR,0.00,0.00
pay_G1022,ORD_1022,2026-08-03,9544.00,190.88,9353.12,INR,0.00,0.00
pay_G1023,ORD_1023,2026-08-03,10633.00,212.66,10420.34,INR,0.00,0.00
pay_G1024,ORD_1024,2026-08-03,9959.00,199.18,9759.82,INR,0.00,0.00
pay_G1025,ORD_1025,2026-08-03,1639.00,32.78,1606.22,INR,0.00,0.00
pay_G1026,ORD_1026,2026-08-03,4233.00,84.66,4148.34,INR,0.00,0.00
pay_G1027,ORD_1027,2026-08-03,1807.00,36.14,1770.86,INR,0.00,0.00
pay_G1028,ORD_1028,2026-08-03,14696.00,293.92,14402.08,INR,0.00,0.00
pay_G1029,ORD_1029,2026-08-03,5054.00,101.08,4952.92,INR,0.00,0.00
pay_G1030,ORD_1030,2026-08-03,14166.00,283.32,13882.68,INR,0.00,0.00
pay_G1031,ORD_1031,2026-08-03,6565.00,131.30,6433.70,INR,0.00,0.00
pay_G1032,ORD_1032,2026-08-04,11480.00,229.60,11250.40,INR,0.00,0.00
pay_G1033,ORD_1033,2026-08-04,11699.00,233.98,11465.02,INR,0.00,0.00
pay_G1034,ORD_1034,2026-08-04,10480.00,209.60,10270.40,INR,0.00,0.00
pay_G1035,ORD_1035,2026-08-04,9251.00,185.02,9065.98,INR,0.00,0.00
